Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
P28040	2543629	GO:0000734; GO:0000784; GO:0000790; GO:0001882; GO:0003682; GO:0003688; GO:0003697; GO:0003887; GO:0005634; GO:0005658; GO:0006272; GO:0006273; GO:0006279; GO:0006281; GO:0006303; GO:0007534; GO:0017076; GO:0035861; GO:0043596; GO:0046872; GO:0046982; GO:0051539; GO:1902975; GO:1902981	pol1 swi7 SPAC3H5.06c
P05375	853536	GO:0000773; GO:0004608; GO:0005789; GO:0006656; GO:0016021; GO:0031966; GO:0080101	OPI3 PEM2 YJR073C J1824
Q01112	2543027	GO:0000753; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005938; GO:0006897; GO:0007015; GO:0007049; GO:0007163; GO:0007266; GO:0008360; GO:0009898; GO:0012505; GO:0017157; GO:0019901; GO:0030031; GO:0030036; GO:0030427; GO:0030950; GO:0031520; GO:0032153; GO:0032154; GO:0032488; GO:0032951; GO:0032955; GO:0033157; GO:0035838; GO:0042995; GO:0043332; GO:0051285; GO:0051286; GO:0051301; GO:0060627; GO:0070382; GO:0070938; GO:0071521; GO:0071963; GO:0090726; GO:0097575; GO:1902716; GO:1905708; GO:2000769	cdc42 SPAC110.03
P33442	851162	GO:0000462; GO:0002181; GO:0003735; GO:0005829; GO:0022627	RPS1A PLC1 RPS10A YLR441C L9753.9
P32473	852522	GO:0004739; GO:0005739; GO:0005967; GO:0006086; GO:0006096; GO:0042645	PDB1 YBR221C YBR1511
Q99N57	110157	GO:0000165; GO:0000186; GO:0001666; GO:0001678; GO:0001934; GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005737; GO:0005739; GO:0005794; GO:0005829; GO:0005886; GO:0006468; GO:0007190; GO:0007507; GO:0008179; GO:0008285; GO:0010856; GO:0016607; GO:0017016; GO:0019899; GO:0030154; GO:0030878; GO:0031143; GO:0031333; GO:0031434; GO:0033138; GO:0035019; GO:0035556; GO:0035773; GO:0035994; GO:0042802; GO:0043066; GO:0045104; GO:0045944; GO:0046872; GO:0046982; GO:0048011; GO:0048538; GO:0060324; GO:0071550; GO:1902042	Raf1 Craf
P53890	855555	GO:0000144; GO:0000921; GO:0005935; GO:0007049; GO:0030674	BNI5 YNL166C N1706
Q07821	850632	GO:0005198; GO:0005506; GO:0005739; GO:0005759; GO:0009102; GO:0016226; GO:0051536; GO:0051537; GO:0097428; GO:0106035	ISA1 YLL027W
P33307	852612	GO:0005049; GO:0005635; GO:0005829; GO:0006606; GO:0006611; GO:0007049; GO:0008536; GO:0008565; GO:0032991; GO:0046827; GO:0051301	CSE1 YGL238W HRC135
Q92331	854235	GO:0000139; GO:0005768; GO:0005829; GO:0010008; GO:0015031; GO:0030904; GO:0030905; GO:0032266; GO:0035091; GO:0042147; GO:0045053	VPS5 GRD2 PEP10 VPT5 YOR069W YOR29-20
P33748	855053	GO:0000981; GO:0000982; GO:0000987; GO:0001302; GO:0001324; GO:0005634; GO:0005829; GO:0006338; GO:0036278; GO:0045944; GO:0046872; GO:0061395; GO:0061401; GO:0061402; GO:0061403; GO:0061404; GO:0061405; GO:0061406; GO:0061407; GO:0061408; GO:0061409; GO:0061410; GO:0061411; GO:0061412; GO:0061422; GO:0061434; GO:0071406; GO:0071483; GO:0097236	MSN2 YMR037C YM9532.02C
Q10303	2541847	GO:0005634; GO:0005737; GO:0005829; GO:0005874; GO:0006457; GO:0051082; GO:1990727	alp21 sto1 SPAC22H10.10
Q12480	856112	GO:0005739; GO:0005759; GO:0009055; GO:0016491; GO:0033539; GO:0050660	AIM45 YPR004C LPZ4C YP9723.04C
P38426	855303	GO:0003824; GO:0005737; GO:0005946; GO:0005992; GO:0016311; GO:0030234; GO:0070413	TPS3 YMR261C YM8156.03C
Q04934	851815	GO:0000329; GO:0005543; GO:0042144; GO:0042802	IVY1 YDR229W YD9934.14
P36163	853962	GO:0004222; GO:0005743; GO:0006515; GO:0016021; GO:0031929; GO:0035694; GO:0046872	OMA1 YKR087C YKR407
