Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P07910	3183	GO:0000398; GO:0000790; GO:0000978; GO:0000980; GO:0001649; GO:0003723; GO:0003730; GO:0005576; GO:0005634; GO:0005654; GO:0005681; GO:0005697; GO:0005829; GO:0008266; GO:0008380; GO:0015629; GO:0016020; GO:0016070; GO:0031492; GO:0032211; GO:0032991; GO:0042802; GO:0043044; GO:0070034; GO:0070062; GO:0070935; GO:0071013; GO:1990247
P32318	853047	GO:0000002; GO:0005634; GO:0005829; GO:0008198; GO:0009228; GO:0052837
P53953	855678	GO:0000139; GO:0005048; GO:0005789; GO:0006886; GO:0008270; GO:0030127; GO:0090110
P53925	855608	GO:0005774; GO:0016021
Q8TGT4	1466532	GO:0016021
P40511	854737	GO:0000794; GO:0030435; GO:0033235; GO:0051321; GO:0090173
P40541	854786	GO:0000775; GO:0003682; GO:0005634; GO:0005737; GO:0005829; GO:0006473; GO:0007064; GO:0034990; GO:0051301
P40094	856901	GO:0000139; GO:0000301; GO:0005801; GO:0006886; GO:0006888; GO:0006891; GO:0007030; GO:0008565; GO:0016236; GO:0017119; GO:0030242; GO:0032258
B7Z2G8	5893	GO:0000730; GO:0005634; GO:0045002
B7Z5Q6	5893	GO:0006281; GO:0006310
F5GX32	5893	GO:0000730; GO:0005634; GO:0045002
P43351	5893	GO:0000724; GO:0000730; GO:0003677; GO:0003697; GO:0005634; GO:0005654; GO:0006302; GO:0006310; GO:0006312; GO:0006974; GO:0010792; GO:0032991; GO:0032993; GO:0034599; GO:0042802; GO:0045002; GO:0051260; GO:2000819
Q5DR82	5893	GO:0000730; GO:0005634; GO:0045002
P33412	852890	GO:0004306; GO:0005634; GO:0005737; GO:0006646
P00175	854950	GO:0004460; GO:0005739; GO:0005743; GO:0005758; GO:0005829; GO:0006089; GO:0010181; GO:0020037; GO:0046872; GO:0070469
Q04599	851694	GO:0003723; GO:0003735; GO:0005762; GO:0032543
P34761	855524	GO:0000398; GO:0000932; GO:0001403; GO:0003729; GO:0005685; GO:0005737; GO:0007049; GO:0007089; GO:0007124; GO:0010494; GO:0010811; GO:0030619; GO:0032106; GO:0035614; GO:0045727; GO:0045793; GO:0045893; GO:0045901; GO:0051220; GO:0061013; GO:0061157; GO:0071554
O13297	855873	GO:0004651; GO:0006370; GO:0031533; GO:0032968; GO:0098501; GO:0098507; GO:1900182
P38253	852387	GO:0005634; GO:0005737; GO:0016021
